Sum of Value,Column Labels,,,,,,ID,Longitude,Latitude,,,,,,,,,,
ASN00077052,0,0,0,0,,,ASN00009592,-34.4478,116.0433,,,,,,,,,,
ASN00079075,0,0,0,0,,,ASN00009603,-33.6858,115.4008,,,,,,,,,,
ASN00080049,0,0,0,0,,,ASN00009617,-33.9486,116.1311,,,,,,,,,,
ASN00081063,0,0,0,0,,,ASN00009619,-34.1519,116.2042,,,,,,,,,,
ASN00081087,0,0,0,0,,,ASN00009626,-33.7106,121.5619,,,,,,,,,,
ASN00082015,0,0,0,0,,,ASN00009628,-33.36,116.1467,,,,,,,,,,
ASN00082021,0,0,0,0,,,ASN00009633,-34.8644,118.1122,,,,,,,,,,
ASN00082056,0,0,0,0,,,ASN00009635,-34.3633,117.0836,,,,,,,,,,
ASN00082084,0,0,0,0,,,ASN00009739,-33.6789,122.3311,,,,,,,,,,
ASN00086282,0,256,123,379,,,ASN00009752,-34.7233,117.3494,,,,,,,,,,
ASN00087031,0,233,137,370,,,ASN00009754,-34.5961,118.5519,,,,,,,,,,
ASN00087043,0,0,0,0,,,ASN00009769,-32.5698,116.4385,,,,,,,,,,
ASN00088010,0,0,0,0,,,ASN00009776,-33.7931,115.3189,,,,,,,,,,
ASN00088051,0,317,104,421,,,ASN00009784,-34.9319,117.1606,,,,,,,,,,
ASN00088071,0,0,0,0,,,ASN00009789,-33.83,121.8925,,,,,,,,,,
ASN00088119,0,0,0,0,,,ASN00009805,-34.9769,116.7286,,,,,,,,,,
ASN00089074,0,0,0,0,,,ASN00009813,-33.7297,122.755,,,,,,,,,,
ASN00089112,0,290,109,399,,,ASN00009815,-33.8819,122.5661,,,,,,,,,,
ASN00090005,0,0,0,0,,,ASN00009822,-33.7753,121.555,,,,,,,,,,
ASN00090063,0,0,0,0,,,ASN00009831,-34.9267,117.8731,,,,,,,,,,
ASN00090176,0,258,85,343,,,ASN00009842,-33.7964,115.6658,,,,,,,,,,
ASN00091055,0,0,0,0,,,ASN00009852,-34.8883,118.3958,,,,,,,,,,
ASN00091223,0,210,115,325,,,ASN00009868,-33.7078,120.8653,,,,,,,,,,
ASN00091311,0,253,83,336,,,ASN00009871,-34.8361,116.0308,,,,,,,,,,
ASN00091325,0,0,0,0,,,ASN00009877,-33.6033,115.4983,,,,,,,,,,
ASN00092045,0,231,128,359,,,ASN00009936,-32.6239,116.0603,,,,,,,,,,
ASN00096071,0,228,49,277,,,ASN00009961,-33.9306,120.1283,,,,,,,,,,
ASN00001014,35,0,0,35,,,ASN00009964,-34.5714,117.0106,,,,,,,,,,
ASN00001024,0,0,0,0,,,ASN00009965,-33.3567,115.6447,,,,,,,,,,
ASN00001026,34,0,0,34,,,ASN00009967,-34.7772,117.6508,,,,,,,,,,
ASN00001035,0,0,0,0,,,ASN00009968,-34.5683,116.3367,,,,,,,,,,
ASN00002009,0,0,0,0,,,ASN00009971,-33.7844,115.4075,,,,,,,,,,
ASN00002022,0,0,0,0,,,ASN00009976,-32.6453,115.8644,,,,,,,,,,
ASN00002056,10,395,270,675,,,ASN00009977,-32.5219,115.7119,,,,,,,,,,
ASN00002064,0,428,282,710,,,ASN00009978,-33.7563,115.2096,,,,,,,,,,
ASN00002067,0,0,0,0,,,ASN00009982,-33.3878,115.8538,,,,,,,,,,
ASN00003032,0,402,304,706,,,ASN00009987,-33.6414,115.7028,,,,,,,,,,
ASN00003080,0,417,293,710,,,ASN00009988,-33.6808,115.6242,,,,,,,,,,
ASN00003093,184,424,229,837,,,ASN00009989,-33.6458,115.9553,,,,,,,,,,
ASN00003098,0,0,0,0,,,ASN00009990,-33.4775,115.7393,,,,,,,,,,
ASN00004019,0,340,277,617,,,ASN00009991,-33.5711,115.8383,,,,,,,,,,
ASN00004032,0,364,253,617,,,ASN00009992,-33.5435,115.5509,,,,,,,,,,
ASN00004083,0,368,269,637,,,ASN00009994,-33.3608,116.1717,,,,,,,,,,
ASN00004090,0,443,263,706,,,ASN00009997,-33.7647,115.8431,,,,,,,,,,
ASN00005008,0,370,245,615,,,ASN00009998,-34.9469,116.7222,,,,,,,,,,
ASN00005017,0,378,234,612,,,ASN00010000,-31.1675,117.0736,,,,,,,,,,
ASN00005051,0,0,0,0,,,ASN00010007,-30.8081,117.8603,,,,,,,,,,
ASN00007008,0,0,0,0,,,ASN00010064,-31.2747,116.5075,,,,,,,,,,
ASN00007139,0,326,187,513,,,ASN00010073,-31.6183,117.7217,,,,,,,,,,
ASN00008251,0,315,205,520,,,ASN00010092,-31.4756,118.2789,,,,,,,,,,
ASN00009131,0,277,166,443,,,ASN00010111,-31.6508,116.6586,,,,,,,,,,
ASN00009573,38,212,146,396,,,ASN00010192,-30.5539,118.2828,,,,,,,,,,
ASN00010908,0,0,0,0,,,ASN00010230,-31.65,117.1,,,,,,,,,,
